ID,Prompt,Category (Lying/Sitting/Walking/General),Teaching Notes,Favorite (Y/N)
1,Let the neck be free,,,
2,Allow the head to go forward and up,,,
3,Let the back lengthen,,,
4,Let the back widen,,,
5,Allow the shoulders to release out to the sides,,,
6,Soften the jaw,,,
7,Let the tongue rest wide in the mouth,,,
8,Release the eyes in their sockets,,,
9,Allow breath to come and go,,,
10,Pause before you move,,,
11,Notice unnecessary effort,,,
12,Stop trying to fix yourself,,,
13,Let the floor support you,,,
14,Let the chair take your weight,,,
15,Allow the sit bones to release downward,,,
16,Let the ribs move freely,,,
17,Think space between vertebrae,,,
18,Allow the head to balance easily,,,
19,Let gravity do the work,,,
20,Widen across the collarbones,,,
21,Let the arms hang from the back,,,
22,Allow the hands to be light,,,
23,Soften the neck before speaking,,,
24,Let the head lead the movement,,,
25,Allow length through the whole spine,,,
26,Let the knees go forward and away,,,
27,Release the hips without pushing,,,
28,Think up without stiffening,,,
29,"Allow ease, not effort",,,
30,Notice where you are holding,,,
31,Choose not to tighten,,,
32,Let go of good posture,,,
33,Allow coordination to happen,,,
34,Let movement emerge,,,
35,Let the back stay wide as you sit,,,
36,Allow the head to float,,,
37,Trust the support beneath you,,,
38,Let your breathing organize itself,,,
39,Pause at the start of action,,,
40,Allow length before movement,,,
41,Reduce excess muscle tone,,,
42,Let the chest be soft,,,
43,Allow the spine to be springy,,,
44,"Think direction, not position",,,
45,Let the body be curious,,,
46,Release downward without collapsing,,,
47,"Allow balance, not control",,,
48,Let the neck release when stressed,,,
49,Widen your awareness beyond yourself,,,
50,Include the whole room,,,
51,Let your weight distribute evenly,,,
52,Think of the head as light,,,
53,Let effort drain out,,,
54,Allow your body to organize,,,
55,Soften the front of the neck,,,
56,Let the back breathe,,,
57,Choose ease over habit,,,
58,Let the spine lengthen upward,,,
59,Allow width through the pelvis,,,
60,Release the shoulders down and wide,,,
61,Let the feet rest on the ground,,,
62,Allow the knees to unlock,,,
63,Let the neck lead all movement,,,
64,Think up without strain,,,
65,Stop forcing alignment,,,
66,Let coordination replace control,,,
67,Allow stillness inside movement,,,
68,"Pause, then proceed",,,
69,Let go of end-gaining,,,
70,Allow means to matter,,,
71,Think freedom first,,,
72,Let the body respond,,,
73,Soften before you act,,,
74,Allow space in the joints,,,
75,Let tension dissolve downward,,,
76,Keep the head free as you walk,,,
77,Allow the back to support the limbs,,,
78,Reduce effort in the neck,,,
79,Let the torso widen as you breathe,,,
80,Allow the spine to lengthen naturally,,,
81,Notice and release gripping,,,
82,Let the body feel supported,,,
83,Allow balance to be dynamic,,,
84,Think ease through transitions,,,
85,Let your attention be wide,,,
86,Allow movement to be simple,,,
87,Trust natural coordination,,,
88,Let go of over-doing,,,
89,Allow clarity instead of force,,,
90,Keep direction; drop tension,,,
91,Let your weight flow downward,,,
92,Allow the head to lead forward and up,,,
93,Choose softness over stiffness,,,
94,Let the back widen again,,,
95,"Release, then move",,,
96,"Allow less effort, more length",,,
97,Stop. Think. Direct.,,,
98,Is your neck free?,,,
99,Let your head float up.,,,
100,Are your shoulders dropping away from your ears?,,,
101,Notice the weight of your head.,,,
102,Is your jaw clenched?,,,
103,Let your back lengthen and widen.,,,
104,Where is your weight right now?,,,
105,Is your breathing restricted anywhere?,,,
106,Let your knees go forward and away.,,,
107,Notice your contact with the ground.,,,
108,Is your chest collapsed?,,,
109,Let your spine decompress.,,,
110,Are you gripping with your hands?,,,
111,Notice the space behind your eyes.,,,
112,Is your tongue pressed to the roof of your mouth?,,,
113,Let your shoulders widen.,,,
114,Are you bracing your legs?,,,
115,Notice your lower back—is it compressed?,,,
116,"Let your head lead, body follow.",,,
117,Are you holding your breath?,,,
118,Notice the width of your upper back.,,,
119,Is your pelvis tucked or tilted?,,,
120,Let your arms hang freely.,,,
121,Are you squinting?,,,
122,Notice the length of your spine.,,,
123,Is your neck shortening?,,,
124,Let your ribs move with your breath.,,,
125,Are you pulling your head back?,,,
126,Notice the softness behind your knees.,,,
127,Is your belly gripping?,,,
128,Let your face soften.,,,
129,Are your toes curled?,,,
130,Notice the relationship between your head and atlas.,,,
131,Is your sternum lifting?,,,
132,Let your sitting bones drop.,,,
133,Are you leaning into one hip?,,,
134,Notice the space between your vertebrae.,,,
135,Is your chin jutting forward?,,,
136,Let your eyes soften and widen.,,,
137,Are you rushing?,,,
138,Notice the weight dropping through your heels.,,,
139,Is your upper chest tight?,,,
140,Let your neck be long.,,,
141,Are your hands tense?,,,
142,Notice the horizon line of your eyes.,,,
143,Is your head tipped to one side?,,,
144,Let your breath come to you.,,,
145,Are you end-gaining right now?,,,
146,Notice the primary control.,,,
147,Is your back narrowing?,,,
148,Let your ankles be free.,,,
149,Are you over-efforting?,,,
150,Notice the ease available to you.,,,
151,Is your head balanced on your spine?,,,
152,Let your lower back soften.,,,
153,Are you bracing your core?,,,
154,Notice the length from crown to tailbone.,,,
155,Is your throat constricted?,,,
156,Let your hips release.,,,
157,Are you pulling down?,,,
158,Notice inhibition—pause before acting.,,,
159,Are your neck muscles tight?,,,
160,Let your weight be supported.,,,
161,Are you lifting your chest unnecessarily?,,,
162,Notice if you're anticipating the next thing.,,,
163,Is your head free to nod?,,,
164,Let your shoulder blades slide down your back.,,,
165,Are you contracting to stay upright?,,,
166,Notice the direction of your gaze.,,,
167,Is your lower jaw hanging free?,,,
168,Let your whole back breathe.,,,
169,Are you gripping the floor with your feet?,,,
170,Notice where effort is unnecessary.,,,
171,Is your sternum compressed?,,,
172,Let your arms lengthen from your back.,,,
173,Are you pulling your shoulders forward?,,,
174,Notice the relationship of your ears to your shoulders.,,,
175,Is your breathing shallow?,,,
176,Let your neck release forward and up.,,,
177,Are you holding tension in your forehead?,,,
178,Notice your head as a weight balanced on your spine.,,,
179,Is your mid-back collapsing?,,,
180,Let your entire spine be involved in movement.,,,
181,Are you fixing your gaze too hard?,,,
182,Notice the ease in your peripheral vision.,,,
183,Is your weight forward on your toes?,,,
184,Let your skull float away from your atlas.,,,
185,Are you bracing for something that isn't happening?,,,
186,Notice the space between your shoulder blades.,,,
187,Is your neck shortening as you think?,,,
188,Let your whole self be taller.,,,
189,Are you compressing downward as you sit?,,,
190,Notice the relationship between your eyes and your neck.,,,
191,Is your upper arm rotating inward?,,,
192,Let your ribs be free to expand sideways.,,,
193,Are you rushing through this moment?,,,
194,Notice the quality of your attention right now.,,,
195,Is your sacrum tucked under?,,,
196,Let your whole back surface widen and lengthen.,,,
197,Pause. Inhibit. Direct. Move.,,,