Number,Prompt,Source Sheet,,
1,Is your neck free?,All_Prompts,,
2,Are your shoulders dropping away from your ears?,All_Prompts,,
3,Is your jaw clenched?,All_Prompts,,
4,Where is your weight right now?,All_Prompts,,
5,Is your breathing restricted anywhere?,All_Prompts,,
6,Is your chest collapsed?,All_Prompts,,
7,Are you gripping with your hands?,All_Prompts,,
8,Is your tongue pressed to the roof of your mouth?,All_Prompts,,
9,Are you bracing your legs?,All_Prompts,,
10,Notice your lower back—is it compressed?,All_Prompts,,
11,Are you holding your breath?,All_Prompts,,
12,Is your pelvis tucked or tilted?,All_Prompts,,
13,Are you squinting?,All_Prompts,,
14,Is your neck shortening?,All_Prompts,,
15,Are you pulling your head back?,All_Prompts,,
16,Is your belly gripping?,All_Prompts,,
17,Are your toes curled?,All_Prompts,,
18,Is your sternum lifting?,All_Prompts,,
19,Are you leaning into one hip?,All_Prompts,,
20,Is your chin jutting forward?,All_Prompts,,
21,Are you rushing?,All_Prompts,,
22,Is your upper chest tight?,All_Prompts,,
23,Are your hands tense?,All_Prompts,,
24,Is your head tipped to one side?,All_Prompts,,
25,Are you end-gaining right now?,All_Prompts,,
26,Is your back narrowing?,All_Prompts,,
27,Are you over-efforting?,All_Prompts,,
28,Is your head balanced on your spine?,All_Prompts,,
29,Are you bracing your core?,All_Prompts,,
30,Is your throat constricted?,All_Prompts,,
31,Are you pulling down?,All_Prompts,,
32,Are your neck muscles tight?,All_Prompts,,
33,Are you lifting your chest unnecessarily?,All_Prompts,,
34,Is your head free to nod?,All_Prompts,,
35,Are you contracting to stay upright?,All_Prompts,,
36,Is your lower jaw hanging free?,All_Prompts,,
37,Is your sternum compressed?,All_Prompts,,
38,Are you pulling your shoulders forward?,All_Prompts,,
39,Is your breathing shallow?,All_Prompts,,
40,Are you holding tension in your forehead?,All_Prompts,,
41,Is your mid-back collapsing?,All_Prompts,,
42,Are you fixing your gaze too hard?,All_Prompts,,
43,Is your weight forward on your toes?,All_Prompts,,
44,Are you bracing for something that isn't happening?,All_Prompts,,
45,Is your neck shortening as you think?,All_Prompts,,
46,Are you compressing downward as you sit?,All_Prompts,,
47,Is your upper arm rotating inward?,All_Prompts,,
48,Are you rushing through this moment?,All_Prompts,,
49,Is your sacrum tucked under?,All_Prompts,,
50,Are you gripping the floor?,Bruce's Prompts,,
51,Are you compressing your abdomen?,Bruce's Prompts,,
52,Are you bending at your waist?,Bruce's Prompts,,
53,Is your abdomen compressed?,CURRENT,,
54,Is your abdomen collapsed?,CURRENT,,
55,Is your solar plexus compressed?,CURRENT,,
56,Is your solar plexus collapsed?,CURRENT,,
57,Are your toes clenched?,CURRENT,,
58,Are your ankles held?,CURRENT,,
59,Are your feet clenched?,CURRENT,,
60,Where are you easing a little bit?,MIO Prompts,,
61,What is happening to the ease in your body?,MIO Prompts,,
62,Are you holding?,New,,
63,Are you gripping?,New,,
64,Are you clenching?,New,,
65,Are you tightening?,New,,
66,Are you heavy?,New,,
67,Are you light?,New,,
68,Are you compressing?,New,,
69,Are you shrinking?,New,,
70,Are you noticing the space around you?,New,,
71,Are you bracing?,New,,
72,Are you tensing?,New,,
73,Are you stiffening?,New,,
74,Are you locking?,New,,
75,Are you guarding?,New,,
76,Are you collapsing?,New,,
77,Are you pulling in?,New,,
78,Are you sinking?,New,,
79,Are you floating?,New,,
80,Are you rising?,New,,
81,Are you clutching?,New,,
82,Are you squeezing?,New,,
83,Are you hardening?,New,,
84,Are you narrowing?,New,,
85,Are you shortening?,New,,
86,Are you withdrawing?,New,,
87,Are you curling in?,New,,
88,Are you hunching?,New,,